,word,relevance_score
0,clinic,6.310848609833964
1,clinics,6.259113651625588
2,markley,5.779074421781499
3,menstrual,5.779074421781499
4,yellowhammer,5.589349285040493
5,huntsville,5.081830478004907
6,abortions,4.700318067277793
7,incest,4.65380874355807
8,myron,4.5909336917827455
9,hlpa,4.5909336917827455
10,ultrasound,4.5909336917827455
11,cardiogenesis,4.5909336917827455
12,"""unborn",4.5909336917827455
13,"child""",4.5909336917827455
14,"""pro-choice""",4.5909336917827455
15,ibis,4.5909336917827455
16,pads,4.5909336917827455
17,tampons,4.5909336917827455
18,mischief,4.5909336917827455
19,'fetal,4.5909336917827455
20,injunction,4.3405432518935845
21,pro-life,4.3405432518935845
22,pregnant,3.9645179255957377
23,medication,3.87471373383065
24,first-degree,3.87471373383065
25,"abortion""",3.87471373383065
26,heartbeat,3.87471373383065
27,alabama,3.643408428939701
28,ivey,3.630888291133351
29,reproductive,3.617799507864014
30,abortion,3.6160757145656715
31,tuscaloosa,3.450675394566139
32,fetus,3.450675394566139
33,"""pro-life""",3.450675394566139
34,terminated,3.450675394566139
35,striving,3.450675394566139
36,hygiene,3.450675394566139
37,maternal,3.4008302989589274
38,mobile,3.379276705508804
39,pregnancy,3.367212363357064
40,aclu,3.2423434094577606
41,induced,3.1462666595192696
42,trimester,3.1462666595192696
43,birmingham,2.916975131349927
44,parenthood,2.914377512563533
45,infant,2.9122742856851724
46,rudolph,2.9072665272381197
47,thompson,2.8243486137865297
48,montgomery,2.7782898373621108
49,criminalize,2.7094503473937315
