,word,relevance_score
0,menstrual,5.985393097378724
1,clinic,5.0978511907984885
2,clinics,5.0978511907984885
3,injunction,4.861463793174709
4,pads,4.801581968841302
5,"""pro-choice""",4.801581968841302
6,tampons,4.801581968841302
7,"""unborn",4.801581968841302
8,ibis,4.801581968841302
9,"child""",4.801581968841302
10,declaratory,4.801581968841302
11,stopthebans,4.801581968841302
12,moines,4.801581968841302
13,defund,4.801581968841302
14,surgeries,4.801581968841302
15,iowans,4.801581968841302
16,"abortion""",4.5496221336057445
17,abortions,4.202420601844886
18,injunctive,4.087744962573528
19,statehouse,4.087744962573528
20,meadows,4.087744962573528
21,casesin,3.6659562281972864
22,"""pro-life""",3.6659562281972864
23,hygiene,3.6659562281972864
24,pregnancy,3.576190314772788
25,parenthood,3.5678512686262445
26,pledge,3.3983430211204517
27,bachmann,3.3638353125075904
28,santorum,3.3638353125075904
29,michele,3.3638353125075904
30,maternal,3.127241344792224
31,heartland,3.127241344792224
32,infant,3.126453912690269
33,abortion,3.1200731666630315
34,iowa,3.0289133232763232
35,reproductive,2.9538645547051305
36,bans,2.893591352737772
37,rick,2.7019206290671787
38,goldman,2.619113628858188
39,petitioners,2.619113628858188
40,elective,2.5386014258575864
41,viewpoint,2.488696770254121
42,aged,2.3061184532512695
43,planned,2.1022211106720246
44,reynolds,2.1008338403138223
45,emma,2.067373402250432
46,implies,2.067373402250432
47,mortality,1.8938668438035606
48,jill,1.8938668438035606
49,eleven,1.850842738252275
