,word,relevance_score
0,clinic,6.6021351072853
1,pensacola,6.2699495937847765
2,menstrual,5.973679621181112
3,clinics,5.574254027334548
4,stopthebans,5.241005840753475
5,fetal,5.241005840753475
6,gunn,5.241005840753475
7,fatally,5.241005840753475
8,bombed,4.8494015413098035
9,heartbeat,4.8494015413098035
10,firebombed,4.788538701716798
11,detected,4.788538701716798
12,butyric,4.788538701716798
13,"""unborn",4.788538701716798
14,"child""",4.788538701716798
15,tampons,4.788538701716798
16,pads,4.788538701716798
17,"""pro-choice""",4.788538701716798
18,"""anti-choice""",4.788538701716798
19,trap,4.788538701716798
20,"""anti-life""",4.788538701716798
21,ibis,4.788538701716798
22,renelique,4.788538701716798
23,plates,4.788538701716798
24,gainesville,4.53719201118782
25,induced,4.386261234790939
26,abortions,4.27291588367947
27,acid,4.146952210993398
28,arson,4.146952210993398
29,"abortion""",4.074521797391509
30,therapeutic,4.074521797391509
31,britton,3.920066309794207
32,burt,3.829160624376647
33,palm,3.6525694637734705
34,unborn,3.6525694637734705
35,fetus,3.6525694637734705
36,"""pro-life""",3.6525694637734705
37,hygiene,3.6525694637734705
38,abortion,3.4037504394501124
39,anti-abortion,3.361769824780339
40,desantis,3.3502869950000767
41,rogers,3.3502869950000767
42,probable,3.3502869950000767
43,simmons,3.3502869950000767
44,escort,3.3502869950000767
45,infant,3.11366454897034
46,maternal,3.1135275293413933
47,customary,3.1135275293413933
48,pregnant,3.1135275293413933
49,barrett,3.055397148369749
